nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
INSS,1542,1872,2808,4034,1348,2657,2042,1291,443,203
CEF,3319,3564,1442,356,154,683,820,356,144,25
UNIÃO,168,329,721,1190,581,894,1907,1649,1024,545
EST DE SC,553,421,328,232,450,254,549,669,507,229
IPESC,158,118,1270,1005,58,7,16,159,62,7
MIN PUB DO EST DE SC,0,0,39,47,83,119,150,139,160,98
BESC,8,2,22,100,100,125,104,54,235,6
BANCO DO BRASIL SA,40,26,67,114,118,79,108,76,54,29
MIN PUB FED,16,120,69,58,76,96,89,82,52,40
FNDE,209,183,161,59,9,5,12,1,3,1
