nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
EST DE SP,2647,2188,3351,5217,3889,2114,4553,5763,3170,1342
INSS,1106,1037,1691,5655,2848,2276,4342,5053,1273,264
UNIÃO,446,618,1108,2585,1190,2382,5343,4791,3241,1095
MUN DE SP,2973,3181,1953,1989,1295,1599,1970,1302,1094,525
CEF,4261,4304,4195,1765,466,899,453,262,178,38
TELESP,11,25,51,219,191,255,1063,1402,690,324
MIN PUB DO EST DE SP,9,11,271,459,545,522,660,613,684,360
MUN DE PRES PRUDENTE,1,0,2,4,0,2244,1098,12,7,7
SUP TRIBUNAL DE JUS,55,89,124,191,316,436,382,428,522,309
RFFSA (EM LIQUIDAÇÃO),93,363,519,804,302,22,9,8,2,1
