nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
ESTADO DE GOIÁS,65,56,131,129,108,139,321,241,175,105
UNIÃO,22,52,128,409,152,77,114,75,63,92
CAIXA ECONÔMICA FEDERAL - CEF,73,164,223,324,71,59,35,20,13,2
MINISTÉRIO PÚBLICO DO ESTADO DE GOIÁS,2,5,44,41,51,176,191,106,119,53
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,11,49,98,86,43,62,60,24,273,7
BANCO ABN AMRO REAL SA,7,8,16,16,82,132,281,139,20,0
BANCO DO BRASIL SA,21,12,26,62,48,57,165,116,97,36
BANCO ITAÚ SA,4,5,3,16,44,139,115,38,22,2
SUPERIOR TRIBUNAL DE JUSTIÇA,7,7,11,11,10,45,56,21,28,16
BANCO BRADESCO SA,17,11,10,16,18,29,57,35,13,6
MINISTÉRIO PÚBLICO FEDERAL,6,11,6,19,14,17,28,34,36,20
ABN AMRO ARRENDAMENTO MERCANTIL SA,0,0,6,46,59,38,29,6,2,0
MUNICÍPIO DE GOIÂNIA,0,5,8,14,17,11,39,32,26,19
BANCO PANAMERICANO SA,0,0,0,2,8,62,76,13,1,0
FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,0,30,79,30,8,0,4,0,0,0
BANCO VOLKSWAGEN SA,1,2,6,2,12,14,50,33,5,0
UNIVERSIDADE FEDERAL DE GOIÁS - UFGO,0,0,0,2,0,1,22,43,37,13
BRASIL TELECOM SA,0,0,0,1,4,7,28,48,24,4
BANCO DO ESTADO DE GOIÁS SA - BEG,32,19,11,16,14,16,7,0,0,0
HSBC BANK BRASIL SA - BANCO MÚLTIPLO,0,2,5,5,5,14,38,23,13,0
BANCO GENERAL MOTORS SA,0,0,1,2,8,13,49,26,5,0
MINISTÉRIO PÚBLICO ESTADUAL,72,18,11,0,0,0,0,0,0,0
HSBC BANK BRASIL SA - BANCO MULTIPLO ,0,0,0,0,0,0,57,14,13,5
UNIVERSIDADE FEDERAL DE GOIÁS - UFG,3,2,0,32,15,8,4,10,7,6
TRIBUNAL DE JUSTIÇA DO ESTADO DE GOIÁS,6,3,2,8,2,9,21,3,8,6
BANCO FINASA SA,0,0,0,0,2,16,23,20,2,1
CARGILL AGRÍCOLA SA,0,0,0,0,0,3,39,11,3,3
INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA - INCRA,1,0,0,5,12,11,4,10,9,5
BANCO DE CRÉDITO NACIONAL SA - BCN,0,0,0,12,20,20,3,0,0,0
"MASSA FALIDA DA ENCOL SA - ENGENHARIA, COMÉRCIO E INDÚSTRIA",0,0,0,3,5,29,16,2,0,0
INSTITUTO AMBEV DE PREVIDÊNCIA PRIVADA,0,0,0,0,0,0,0,22,32,0
FINÁUSTRIA COMPANHIA DE CRÉDITO FINANCIAMENTO E INVESTIMENTO,0,1,4,8,17,18,3,3,0,0
MUNICÍPIO DE ANÁPOLIS,4,1,1,0,0,4,2,14,12,12
FUNDAÇÃO NACIONAL DE SAÚDE - FUNASA,0,0,0,1,0,0,1,0,28,19
BANCO SANTANDER (BRASIL) SA,0,0,0,2,3,2,32,6,2,0
BANCO FIAT SA,1,1,3,8,7,10,13,3,0,0
BANCO DO ESTADO DE GOIÁS SA,0,0,0,0,0,9,23,9,2,1
FINÁUSTRIA ARRENDAMENTO MERCANTIL SA,0,0,3,16,8,10,4,0,0,0
MINISTÉRIO PÚBLICO DO TRABALHO,0,0,0,0,1,0,4,18,15,2
UNIBANCO - UNIÃO DE BANCOS BRASILEIROS SA,3,6,1,0,5,5,17,3,0,0
SAFRA LEASING SA ARRENDAMENTO MERCANTIL,0,0,2,8,7,10,7,3,0,1
COLÉGIO EMBRAS LTDA,0,0,21,12,1,0,0,0,0,0
ASSEMBLÉIA LEGISLATIVA DO ESTADO DE GOIÁS,3,0,0,8,6,9,5,0,1,2
CAIXA ECONÔMICA DO ESTADO DE GOIÁS - CAIXEGO,16,8,5,3,1,0,1,0,0,0
PROFORTE SA - TRANSPORTE DE VALORES,0,0,5,10,10,3,4,0,0,1
BANCO SUDAMERIS BRASIL SA,0,1,1,7,5,5,6,6,1,0
DIMARCY BORGES,0,0,0,0,0,0,7,14,5,6
CCA ADMINISTRADORA DE CONSÓRCIO LTDA,0,3,28,0,0,0,0,0,0,0
GOVERNADOR DO ESTADO DE GOIÁS,4,2,0,6,6,5,3,0,2,2
RAIMUNDO LISBOA PEREIRA,0,0,0,0,0,13,13,1,0,3
