nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
ESTADO DE SÃO PAULO,2647,2188,3351,5217,3889,2114,4553,5763,3170,1342
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,1106,1037,1691,5655,2847,2275,4331,5049,1272,262
UNIÃO,446,618,1108,2585,1190,2382,5343,4791,3241,1095
MUNICÍPIO DE SÃO PAULO,2973,3181,1953,1989,1295,1599,1970,1302,1094,525
CAIXA ECONÔMICA FEDERAL - CEF,4261,4304,4195,1765,466,899,450,260,177,38
MINISTÉRIO PÚBLICO DO ESTADO DE SÃO PAULO,9,11,271,459,545,522,660,613,684,360
TELECOMUNICAÇÕES DE SÃO PAULO SA - TELESP,11,25,51,217,191,242,938,1342,671,323
MUNICÍPIO DE PRESIDENTE PRUDENTE,1,0,2,4,0,2244,1098,12,7,7
SUPERIOR TRIBUNAL DE JUSTIÇA,55,89,124,191,316,436,382,428,522,309
REDE FERROVIÁRIA FEDERAL SA - RFFSA (EM LIQUIDAÇÃO),93,363,519,804,302,22,4,7,2,1
MUNICÍPIO DE SANTO ANDRÉ,63,36,89,189,140,217,430,307,506,137
MUNICÍPIO DE SANTOS,65,40,77,115,47,100,169,445,495,205
MINISTÉRIO PÚBLICO FEDERAL,106,77,91,188,136,168,287,215,224,183
BANCO ITAÚ SA,116,80,121,152,97,154,256,212,234,249
BANCO DO ESTADO DE SÃO PAULO SA - BANESPA,217,130,181,178,137,212,275,218,92,16
BANCO NOSSA CAIXA SA,3,1,17,73,60,123,214,310,369,288
BANCO BRADESCO SA,107,74,125,113,76,124,287,185,144,121
BANCO DO BRASIL SA,162,99,156,162,96,138,181,150,100,60
MUNICÍPIO DE SÃO BERNARDO DO CAMPO,72,77,97,180,129,206,208,142,104,34
BANCO ABN AMRO REAL SA,80,70,126,99,129,107,239,92,87,118
VOLKSWAGEN DO BRASIL LTDA,217,97,131,84,30,45,289,93,77,11
BANCO CENTRAL DO BRASIL,103,54,81,258,118,76,205,56,15,14
TRIBUNAL DE JUSTIÇA DO ESTADO DE SÃO PAULO,49,34,62,73,75,93,123,141,140,154
INSTITUTO DE PREVIDÊNCIA DO ESTADO DE SÃO PAULO - IPESP,147,55,38,49,55,65,116,135,95,51
CAIXA BENEFICENTE DA POLÍCIA MILITAR DO ESTADO DE SÃO PAULO - CBPM,85,43,124,118,271,101,13,15,7,15
INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE SÃO PAULO - IPREM,46,47,37,46,50,64,151,159,96,32
SINDICATO DOS TRABALHADORES EM HOTÉIS APART-HOTÉIS MOTÉIS FLATS HOSPEDARIAS POUSADAS RESTAURANTES CHURRASCARIAS CANTINAS PIZZARIAS BARES LANCHONETES SORVETERIAS CONFEITARIAS DOCERIAS BUFFETS FAST- FOODS E ASSEMELHADOS DE SÃO PAULO E REGIÃO,0,0,0,15,63,138,214,191,63,0
ELETROPAULO METROPOLITANA - ELETRICIDADE DE SÃO PAULO SA,90,59,114,109,34,82,95,37,39,19
OS MESMOS,33,101,44,62,21,41,211,112,34,6
COMPANHIA DE SANEAMENTO BÁSICO DO ESTADO DE SÃO PAULO - SABESP,52,26,55,53,53,42,68,124,115,55
MUNICÍPIO DE OSASCO,96,85,75,84,69,68,79,36,27,19
FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,0,16,25,331,105,34,71,11,7,7
GOODYEAR DO BRASIL PRODUTOS DE BORRACHA LTDA,21,150,125,98,33,26,75,33,22,13
MUNICÍPIO DE CAMPINAS,7,15,40,57,40,95,78,134,98,28
MUNICÍPIO DE SÃO ROQUE,0,0,1,403,185,0,1,0,1,0
UNIBANCO - UNIÃO DE BANCOS BRASILEIROS SA,62,86,88,72,24,53,67,43,34,23
CONFEDERAÇÃO DA AGRICULTURA E PECUÁRIA DO BRASIL - CNA,36,22,13,29,141,144,103,15,16,30
NOSSA CAIXA - NOSSO BANCO SA,121,111,146,61,41,42,5,2,3,1
COMPANHIA DOCAS DO ESTADO DE SÃO PAULO - CODESP,40,32,38,49,36,42,82,93,64,52
MINISTÉRIO PÚBLICO ESTADUAL,230,180,79,26,0,2,1,0,1,0
MUNICÍPIO DE VOTORANTIM,0,0,0,0,15,66,282,109,33,1
DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS - DERMG,27,11,67,104,75,69,27,35,38,24
MUNICÍPIO DE RIBEIRÃO PIRES,2,0,3,440,2,0,0,1,0,0
ELETROPAULO - ELETRICIDADE DE SÃO PAULO SA,173,108,76,53,9,9,1,2,2,0
UNIÃO FEDERAL,388,0,2,4,0,0,0,0,0,0
REDE FERROVIÁRIA FEDERAL SA - RFFSA (EM LIQUIDAÇÃO EXTRAJUDICIAL),18,41,234,59,39,1,0,0,0,0
REDE FERROVIÁRIA FEDERAL SA - RFFSA,61,34,147,96,48,5,0,0,0,0
MUNICÍPIO DE MOGI MIRIM,133,84,32,130,4,1,2,0,2,2
COMPANHIA PAULISTA DE FORÇA E LUZ,14,18,20,14,7,17,46,137,80,17
EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS - ECT,21,40,56,39,20,11,10,75,71,22
