nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
CAIXA ECONÔMICA FEDERAL - CEF,9832,16415,11092,3415,820,825,419,231,87,21
ESTADO DE MINAS GERAIS,459,351,622,1250,1058,1560,2246,1937,2533,1406
UNIÃO,238,372,1078,1566,659,735,1326,1048,544,245
FIAT AUTOMÓVEIS SA,247,215,248,515,1246,1960,1312,718,153,22
TELEMAR NORTE LESTE SA,0,0,9,14,9,46,380,4271,632,254
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,150,236,730,779,496,501,912,753,334,134
MUNICÍPIO DE BELO HORIZONTE,206,194,505,794,546,534,541,288,600,256
MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS,14,3,116,180,222,358,499,299,323,238
INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS - IPSEMG,10,13,31,255,336,218,187,271,603,133
FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,35,151,452,71,22,6,5,2,0,0
TEKSID DO BRASIL LTDA,35,99,156,52,80,69,94,67,25,30
COMPANHIA VALE DO RIO DOCE - CVRD,9,23,106,120,17,21,41,147,88,41
INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS - IPSM,16,3,14,31,50,27,43,41,288,82
REDE FERROVIÁRIA FEDERAL SA - RFFSA (EM LIQUIDAÇÃO),54,132,224,88,45,14,8,14,5,0
SUPERIOR TRIBUNAL DE JUSTIÇA,22,39,17,38,60,71,94,57,80,96
UNIVERSIDADE FEDERAL DE MINAS GERAIS - UFMG,138,42,33,19,26,26,89,142,35,12
BANCO ABN AMRO REAL SA,15,26,50,27,23,42,85,53,86,130
BANCO DO BRASIL SA,48,52,64,72,36,71,66,45,52,16
ASSEMBLÉIA LEGISLATIVA DO ESTADO DE MINAS GERAIS,10,10,6,18,37,105,277,10,1,3
MINISTÉRIO PÚBLICO FEDERAL,33,23,9,27,38,52,53,61,50,60
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,259,14,10,28,2,5,19,4,0,2
BANCO BRADESCO SA,6,11,11,29,30,52,62,39,35,17
UNIÃO FEDERAL,285,3,3,0,0,0,0,0,0,0
COMPANHIA ENERGÉTICA DE MINAS GERAIS - CEMIG,10,15,13,25,12,28,43,35,56,34
"CONSELHO REGIONAL DE ENGENHARIA, ARQUITETURA E AGRONOMIA DE MINAS GERAIS - CREAMG",0,0,1,83,182,2,3,0,0,0
TRIBUNAL DE JUSTIÇA DO ESTADO DE MINAS GERAIS,37,12,16,17,21,21,19,26,49,42
UNIBANCO - UNIÃO DE BANCOS BRASILEIROS SA,21,41,34,56,15,35,20,20,9,4
MINISTÉRIO PÚBLICO ESTADUAL,114,90,29,7,0,1,1,0,0,0
DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS - DERMG,11,14,27,20,16,19,36,35,34,22
BANCO CENTRAL DO BRASIL,6,23,46,59,27,28,24,13,3,3
COMPANHIA VALE DO RIO DOCE,0,0,0,0,0,0,36,120,57,14
MUNICÍPIO DE IPATINGA,11,20,24,10,12,16,22,13,32,58
MUNICÍPIO DE GOVERNADOR VALADARES,1,0,2,6,20,41,52,41,28,24
TNL CONTAX SA,0,0,0,0,0,0,0,1,86,128
OS MESMOS,12,8,9,29,5,19,60,29,20,9
REDE FERROVIÁRIA FEDERAL SA - RFFSA (EM LIQUIDAÇÃO EXTRAJUDICIAL),3,27,129,24,6,4,1,0,0,0
FUNDAÇÃO SISTEL DE SEGURIDADE SOCIAL,1,0,0,0,0,1,26,41,78,43
BANCO ITAÚ SA,16,5,11,27,20,24,30,17,18,14
PROFORTE SA - TRANSPORTE DE VALORES,0,0,12,38,31,57,20,12,5,6
CONSAVEL ADMINISTRADORA DE CONSÓRCIOS LTDA,0,0,0,0,4,21,62,46,35,11
UNIÃO BRASILEIRA DE EDUCAÇÃO E ENSINO - UBEE,14,4,10,46,38,28,17,3,4,5
MUNICÍPIO DE BETIM,0,5,6,10,8,17,30,38,26,13
CAMARGO CORRÊA CIMENTOS SA,0,0,1,17,8,11,58,33,21,4
FUNDAÇÃO DOS ECONOMIÁRIOS FEDERAIS - FUNCEF,2,0,1,14,23,26,30,22,27,6
EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS - ECT,39,31,27,19,8,1,7,5,7,4
UNIVERSIDADE FEDERAL DE UBERLÂNDIA - UFU,25,2,9,2,3,1,21,26,39,11
INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS - IBAMA,1,1,2,2,3,10,18,43,38,18
TELEMAR NORTE LESTE SA - FILIAL MINAS GERAIS,0,1,22,100,11,0,0,0,0,0
MUNICÍPIO DE CAMBUÍ,0,0,0,0,0,0,4,1,9,114
REDE FERROVIÁRIA FEDERAL SA - RFFSA,47,21,32,19,4,1,0,0,0,1
