nome,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
CAIXA ECONÔMICA FEDERAL - CEF,5836,7262,2442,508,380,2971,632,232,100,44
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,321,396,1143,1692,984,3633,2674,1777,663,190
UNIÃO,257,448,997,1425,826,873,2049,1782,961,398
ESTADO DO PARANÁ,443,355,326,399,259,466,599,393,413,335
BRASIL TELECOM SA,0,0,0,9,2,15,477,659,708,20
MUNICÍPIO DE CURITIBA,59,48,63,57,82,83,371,185,119,112
CONFEDERAÇÃO NACIONAL DA AGRICULTURA - CNA,0,0,0,0,0,0,254,183,273,190
MINISTÉRIO PÚBLICO DO ESTADO DO PARANÁ,5,2,43,42,91,87,234,135,104,76
CONFEDERAÇÃO DA AGRICULTURA E PECUÁRIA DO BRASIL - CNA,0,0,0,0,1,5,524,53,32,91
SERCOMTEL SA - TELECOMUNICAÇÕES,0,0,1,0,2,0,427,180,8,83
BANCO DO BRASIL SA,77,32,75,87,57,45,142,42,12,20
MINISTÉRIO PÚBLICO FEDERAL,21,15,35,69,66,79,83,95,71,53
BANCO CENTRAL DO BRASIL,200,82,94,75,30,15,21,19,18,4
FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,177,166,151,32,3,4,4,3,0,4
INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA - INCRA,12,13,22,27,34,22,75,122,139,67
ITAIPU BINACIONAL,3,13,30,32,33,23,65,78,45,52
SUPERIOR TRIBUNAL DE JUSTIÇA,3,13,12,27,33,41,63,50,57,42
UNIVERSIDADE FEDERAL DO PARANÁ - UFPR,2,0,10,7,7,11,110,100,53,30
OS MESMOS,20,10,13,24,16,23,72,60,35,9
ADMINISTRAÇÃO DOS PORTOS DE PARANAGUÁ E ANTONINA - APPA,23,53,78,87,17,7,5,4,1,1
REDE FERROVIÁRIA FEDERAL SA - RFFSA (EM LIQUIDAÇÃO),28,39,45,74,43,10,1,2,1,2
MUNICÍPIO DE LONDRINA,1,4,17,21,16,15,38,50,43,33
COMPANHIA PARANAENSE DE ENERGIA - COPEL,37,12,9,16,5,17,32,50,26,20
BANCO ITAÚ SA,17,12,18,17,20,17,36,21,23,14
PARANAPREVIDÊNCIA,0,28,18,36,5,10,9,8,26,48
UNIVERSIDADE FEDERAL DO PARANÁ,14,16,23,22,5,24,48,12,8,4
UNIÃO FEDERAL,150,0,11,5,1,0,1,0,0,0
PROFORTE SA - TRANSPORTE DE VALORES,0,0,17,61,23,21,22,1,6,5
HSBC BANK BRASIL SA - BANCO MÚLTIPLO,1,2,4,25,19,13,27,33,12,5
BANCO BRADESCO SA,19,14,12,19,15,13,19,9,12,6
SERVIÇO BRASILEIRO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS - SEBRAE,0,0,4,33,23,25,18,14,10,5
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DO PARANÁ - CEFETPR,22,11,16,14,8,5,33,9,5,6
BANCO DO ESTADO DO PARANÁ SA,33,15,10,31,9,10,14,2,4,0
EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS - ECT,19,18,28,18,9,7,7,1,8,6
GOVERNADOR DO ESTADO DO PARANÁ,6,14,16,20,8,17,14,6,2,10
MUNICÍPIO DE PONTA GROSSA,0,0,0,1,14,8,82,1,3,3
BANCO BANESTADO SA,2,0,1,12,4,19,26,20,14,2
REDE FERROVIÁRIA FEDERAL SA - RFFSA,38,12,21,9,3,3,2,3,1,3
INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS - IBAMA,1,1,5,11,16,10,17,18,4,11
COPEL DISTRIBUIÇÃO SA,0,0,0,0,5,1,26,39,17,4
MUNICÍPIO DE SÃO JOSÉ DOS PINHAIS,1,1,5,3,1,6,13,43,13,6
CENTRAIS ELÉTRICAS BRASILEIRAS SA - ELETROBRÁS,2,0,0,7,10,26,12,18,9,5
MINISTÉRIO PÚBLICO ESTADUAL,37,37,11,3,0,0,0,0,0,0
ASSEMBLÉIA LEGISLATIVA DO ESTADO DO PARANÁ,7,11,10,12,5,11,15,8,5,3
MUNICÍPIO DE MARINGÁ,8,1,9,9,2,6,16,16,10,10
SERVIÇO SOCIAL DO COMÉRCIO - SESC,0,0,1,12,9,22,14,16,4,8
HSBC BANK BRASIL SA - BANCO MULTIPLO ,0,0,0,0,0,2,17,11,6,48
BANCO ABN AMRO REAL SA,3,5,22,11,6,5,12,14,2,3
UNIBANCO - UNIÃO DE BANCOS BRASILEIROS SA,13,7,6,18,3,2,12,3,7,9
BANCO BAMERINDUS DO BRASIL SA - EM LIQUIDAÇÃO EXTRAJUDICAL,17,10,13,23,8,4,0,0,0,0
